Day;Nombre de changement d'état par jour;NBChangeOrdered;CDF
317;16;16;0,868
318;12;16;0,871
319;4;16;0,874
320;2;16;0,877
321;12;17;0,879
322;18;17;0,882
323;20;17;0,885
324;18;18;0,888
325;11;18;0,890
326;5;18;0,893
327;8;18;0,896
328;8;18;0,899
329;10;18;0,901
330;16;18;0,904
331;16;18;0,907
332;6;18;0,910
333;0;18;0,912
334;2;18;0,915
335;14;18;0,918
336;16;18;0,921
337;14;18;0,923
338;18;18;0,926
339;6;18;0,929
340;5;18;0,932
341;2;18;0,934
342;12;18;0,937
343;14;19;0,940
344;10;19;0,942
345;12;20;0,945
346;16;20;0,948
347;4;20;0,951
348;4;20;0,953
349;20;20;0,956
350;10;20;0,959
351;12;20;0,962
352;16;20;0,964
353;12;20;0,967
354;4;20;0,970
355;4;20;0,973
356;14;20;0,975
357;10;20;0,978
358;14;22;0,981
359;20;22;0,984
360;20;22;0,986
361;1;22;0,989
362;2;22;0,992
363;6;23;0,995
364;0;24;0,997
365;0;24;1,000
