Timestep;NBPresence;NBPresencePercentage
878;0;0
879;0;0
880;0;0
881;0;0
882;0;0
883;0;0
884;1;0,019230769
885;1;0,019230769
886;1;0,019230769
887;1;0,019230769
888;0;0
889;0;0
890;0;0
891;1;0,019230769
892;1;0,019230769
893;1;0,019230769
894;0;0
895;0;0
896;2;0,038461538
897;2;0,038461538
898;2;0,038461538
899;2;0,038461538
900;2;0,038461538
901;2;0,038461538
902;2;0,038461538
903;2;0,038461538
904;3;0,057692308
905;1;0,019230769
906;2;0,038461538
907;2;0,038461538
908;2;0,038461538
909;3;0,057692308
910;3;0,057692308
911;2;0,038461538
912;2;0,038461538
913;2;0,038461538
914;2;0,038461538
915;2;0,038461538
916;2;0,038461538
917;2;0,038461538
918;1;0,019230769
919;1;0,019230769
920;1;0,019230769
921;1;0,019230769
922;2;0,038461538
923;2;0,038461538
924;3;0,057692308
925;2;0,038461538
926;2;0,038461538
927;3;0,057692308
928;1;0,019230769
929;2;0,038461538
930;2;0,038461538
931;2;0,038461538
932;2;0,038461538
933;2;0,038461538
934;3;0,057692308
935;3;0,057692308
936;3;0,057692308
