Timestep;NBPresence;NBPresencePercentage
1806;2;0,038461538
1807;2;0,038461538
1808;2;0,038461538
1809;2;0,038461538
1810;1;0,019230769
1811;1;0,019230769
1812;1;0,019230769
1813;1;0,019230769
1814;2;0,038461538
1815;3;0,057692308
1816;2;0,038461538
1817;3;0,057692308
1818;3;0,057692308
1819;2;0,038461538
1820;2;0,038461538
1821;2;0,038461538
1822;3;0,057692308
1823;1;0,019230769
1824;0;0
1825;2;0,038461538
1826;2;0,038461538
1827;2;0,038461538
1828;3;0,057692308
1829;2;0,038461538
1830;3;0,057692308
1831;3;0,057692308
1832;3;0,057692308
1833;4;0,076923077
1834;3;0,057692308
1835;2;0,038461538
1836;2;0,038461538
1837;1;0,019230769
1838;1;0,019230769
1839;1;0,019230769
1840;1;0,019230769
1841;1;0,019230769
1842;3;0,057692308
1843;3;0,057692308
1844;4;0,076923077
1845;3;0,057692308
1846;3;0,057692308
1847;3;0,057692308
1848;3;0,057692308
1849;3;0,057692308
1850;4;0,076923077
1851;2;0,038461538
1852;3;0,057692308
1853;3;0,057692308
1854;2;0,038461538
1855;1;0,019230769
1856;0;0
1857;0;0
1858;0;0
1859;0;0
1860;1;0,019230769
1861;0;0
1862;0;0
1863;1;0,019230769
1864;1;0,019230769
1865;2;0,038461538
1866;2;0,038461538
1867;1;0,019230769
1868;1;0,019230769
1869;0;0
1870;1;0,019230769
1871;0;0
1872;1;0,019230769
1873;2;0,038461538
1874;4;0,076923077
1875;5;0,096153846
1876;5;0,096153846
1877;6;0,115384615
1878;7;0,134615385
1879;7;0,134615385
1880;6;0,115384615
1881;3;0,057692308
1882;3;0,057692308
1883;2;0,038461538
1884;1;0,019230769
1885;0;0
1886;1;0,019230769
1887;2;0,038461538
1888;4;0,076923077
1889;3;0,057692308
1890;3;0,057692308
1891;2;0,038461538
1892;2;0,038461538
1893;2;0,038461538
1894;2;0,038461538
1895;2;0,038461538
1896;2;0,038461538
1897;2;0,038461538
1898;2;0,038461538
1899;1;0,019230769
1900;1;0,019230769
1901;2;0,038461538
1902;2;0,038461538
1903;2;0,038461538
1904;2;0,038461538
1905;3;0,057692308
1906;3;0,057692308
1907;0;0
1908;0;0
1909;0;0
1910;0;0
1911;1;0,019230769
1912;2;0,038461538
1913;2;0,038461538
1914;2;0,038461538
1915;1;0,019230769
1916;1;0,019230769
1917;1;0,019230769
1918;2;0,038461538
1919;4;0,076923077
1920;5;0,096153846
1921;6;0,115384615
1922;6;0,115384615
1923;5;0,096153846
1924;7;0,134615385
1925;6;0,115384615
1926;6;0,115384615
1927;5;0,096153846
1928;5;0,096153846
1929;5;0,096153846
1930;4;0,076923077
1931;4;0,076923077
1932;2;0,038461538
1933;1;0,019230769
1934;1;0,019230769
1935;0;0
1936;0;0
1937;1;0,019230769
1938;1;0,019230769
1939;1;0,019230769
1940;1;0,019230769
1941;1;0,019230769
1942;1;0,019230769
1943;3;0,057692308
1944;2;0,038461538
1945;2;0,038461538
1946;2;0,038461538
1947;2;0,038461538
1948;2;0,038461538
1949;1;0,019230769
1950;1;0,019230769
1951;2;0,038461538
1952;2;0,038461538
1953;4;0,076923077
1954;4;0,076923077
1955;2;0,038461538
1956;2;0,038461538
1957;1;0,019230769
1958;1;0,019230769
1959;1;0,019230769
1960;1;0,019230769
1961;2;0,038461538
1962;3;0,057692308
1963;4;0,076923077
1964;3;0,057692308
1965;3;0,057692308
1966;3;0,057692308
1967;4;0,076923077
1968;4;0,076923077
1969;4;0,076923077
1970;3;0,057692308
1971;3;0,057692308
1972;3;0,057692308
1973;3;0,057692308
1974;2;0,038461538
1975;2;0,038461538
1976;2;0,038461538
1977;3;0,057692308
1978;3;0,057692308
1979;2;0,038461538
1980;2;0,038461538
1981;1;0,019230769
1982;0;0
1983;0;0
1984;1;0,019230769
1985;1;0,019230769
1986;1;0,019230769
